基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
2025,碘银石,$L:npc_2025$,4,1,,237,0,,2,0,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,,0.5,,10025,,"0,0;",10025,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2026,茯苓,$L:npc_2026$,3,1,,253,0,,1,0,6,,,,0,,,,135,120,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,,0.5,,10026,,"0,0;",10026,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2027,麻黄草,$L:npc_2027$,3,1,,254,0,,1,0,6,,,,0,,,,135,120,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,,0.5,,10027,,"0,0;",10027,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2028,银犀草,$L:npc_2028$,3,1,,255,0,,1,0,6,,,,0,,,,135,120,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,,0.5,,10028,,"0,0;",10028,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2029,黄精,$L:npc_2029$,3,1,,256,0,,1,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10029,,"0,0;",10029,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2030,雪见草,$L:npc_2030$,3,1,,257,0,,1,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10030,,"0,0;",10030,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2031,龙胆紫,$L:npc_2031$,3,1,,258,0,,1,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10031,,"0,0;",10031,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2032,方解石,$L:npc_2032$,4,1,,259,0,,2,0,6,,,,0,,,,135,120,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,,0.5,,10032,,"0,0;",10032,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2033,菱辉石,$L:npc_2033$,4,1,,260,0,,2,0,6,,,,0,,,,135,120,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,,0.5,,10033,,"0,0;",10033,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2034,锰矾石,$L:npc_2034$,4,1,,261,0,,2,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10034,,"0,0;",10034,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2035,翡翠石,$L:npc_2035$,4,1,,262,0,,2,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10035,,"0,0;",10035,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2036,云母石,$L:npc_2036$,4,1,,263,0,,2,0,7,,,,0,,,,159,120,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,,0.5,,10036,,"0,0;",10036,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,精英毒蝇,$L:npc_397$,1,3,,74,1,,,100,16,,2,2,1,,,,817,120,0,71,15,341,1126,,,,,256;256;256;256;256,200,150,3,270,45,5600,0.5,4,2501;,1;0;0;,"-1,1;",,,,,,,-211;-825;1,,,,,79,,,,,,,,,,,,,,
398,精英山民护卫,$L:npc_398$,1,3,,79,1,,,100,17,,2,2,1,,,,881,120,0,76,16,358,20,,,,,272;272;272;272;272,60,150,3,280,47,5600,0.5,4,2003;2401;,1;0;0;,"0,0;0,2;",,,,,,,-211;-825;1,,,,,81;83;475;1765,,,,,,,,,,,,,,
399,精英蟒蛇,$L:npc_399$,1,3,,132,1,,,100,15,,2,2,1,,,,756,100,0,67,14,325,20,,,,,240;240;240;240;240,60,150,3,260,43,5200,0.5,4,2002;2900;,1;0;0;,"0,0;0,2;",,,,,,,-211;-825;1,,,,,,,,,,,,,,,,,,,
400,精英野狼,$L:npc_400$,1,3,,14,1,,,100,16,,2,2,1,,,,817,288,0,71,18,341,20,,,,,306;306;306;306;306,60,150,3,270,45,5600,0.5,4,2601;,1;0;0;,"-1,1;",,,,,,,-211;-825;1,,,,,85;86;,,,,,,,,,,,,,,
351,金猱首领,$L:npc_351$,1,3,,205,1,,,600,16,,15,0.7,1,,2;3;4,,6130,30,0,162,19,341,20,,"1141,1",,,324;324;324;324;324,60,150,3,2025,338,105000,1,5,3003;3301;,1;0;0;,"0,0;2,4;",,,,,2,,-211;-825;1,,,,,88;475;807,,,,,,,,,,,,,,
353,虎王,$L:npc_353$,1,3,,206,1,,,600,17,,15,0.7,1,,2;3;4,,6610,30,0,177,20,358,20,,"1142,1;1146,1",,,342;342;342;342;342,60,150,3,2100,350,105000,1,6,3801;3201;,1;0;0;,"0,2;-1,0;",,,,,2,,-211;-825;1,,,,,90;475;807,,,,,,,,,,,,,,
355,山民护法,$L:npc_355$,1,3,,81,1,,,600,18,,15,0.7,1,,2;3;4,,7109,30,0,192,21,374,20,,"1147,1",,,361;361;361;361;361,60,150,3,2175,363,112500,1,6,3201;3801,1;0;0;,"0,1;0,0;",,,,,3,,-211;-825;1,,,,,94;475;807;1766,,,,,,,,,,,,,,
401,精英木须怪,$L:npc_401$,1,3,,16,1,,,100,20,,2,2,1,,,,1089,240,0,92,23,406,20,,,,,400;400;400;400;400,60,150,3,310,52,6400,0.5,4,2004;,1;0;0;,"0,0;",,,,,,,-211;-825;1,,,,,96;97;475;1765,,,,,,,,,,,,,,
357,古城邪灵,$L:npc_357$,1,3,,11,1,,,100,19,,2,2,1,,,,1017,728,0,86,22,390,20,,,,,380;380;380;380;380,60,150,3,300,50,6000,0.5,4,2901;,1;0;3;,"-1,1;",,,,,,,-211;-825;1,,,,,98;475;1765,,,,,,,,,,,,,,
402,精英野骡,$L:npc_402$,1,3,,86,1,,,100,17,,2,2,1,,,,881,120,0,76,20,358,20,,,,,342;342;342;342;342,60,150,3,280,47,5600,0.5,4,501;701;,0.25;0;0;,"2,4;0,1;",,,,,,,-211;-825;1,,,,,82;84;,,,,,,,,,,,,,,
403,精英金猱,$L:npc_403$,1,3,,133,1,,,100,16,,2,2,1,,,,817,120,0,71,19,341,20,,,,,324;324;324;324;324,60,150,3,270,45,5600,0.5,4,501;701;,0.05;0;0;,"2,4;-1,1;",,,,,,,-211;-825;1,,,,,87;,,,,,,,,,,,1,,,
94,妖道尤太真,$L:npc_94$,1,3,,94,1,,,600,20,,15,0.7,1,,2;3;4,,8168,120,0,226,23,406,20,,"1137,1;1138,1",,,406;406;406;406;406,60,150,3,2325,388,120000,1,6,3901;3004;502;602;702;,1;0;0;,"-1,1;0,0;0,0;0,0;0,0;",6010,,"0,0",0.4,3,,-211;-825;1,,,,,300;99;475;807;510;527;885;1766,,,,,,,,,,,1,,,
404,古藤木,$L:npc_404$,1,3,,240,0,,,100,15,,2,2,1,,,,756,120,0,67,19,325,20,,,,,324;324;324;324;324,60,150,3,260,43,5200,0.5,,,0.1;0;0;,,,,,,,,-211;-825;1,,talk/npc_talk_404.xml,,,,,,,,,,,,,,1,,,
405,古藤木,$L:npc_405$,1,3,,240,0,,,100,15,,2,2,1,,,,756,120,0,67,19,325,20,,,,,324;324;324;324;324,60,150,3,260,43,5200,0.5,,,0.1;0;0;,,,,,,,,-211;-825;1,,talk/npc_talk_405.xml,,,,,,,,,,,,,,1,,,
406,云灵山声望商人,$L:npc_406$,1,3,,120,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,280;-135;1,talk;shop;tptc;task;,talk/npc_talk_4447.xml,455;456,455;456;,,,,,,,,,,,,1,,,
407,虎爪山声望商人,$L:npc_407$,1,3,,120,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;tptc;task;,talk/npc_talk_4447.xml,,,,,,,,,,,,,,1,,,
408,山民药师,$L:npc_408$,1,3,,49,0,,,100,10,,,,0,,,,213,120,0,17,14,225,20,,,,,225;225;225;225;225,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,31;-953;1,talk;shop;life_skill;task;,talk/npc_talk_288.xml,513;,513;,,,11;14;,,,,,1,,,,1,,,
409,桃花源长老,$L:npc_409$,1,3,,116,0,,,100,35,,,,0,,,,1313,120,0,97,36,650,20,,,,,650;650;650;650;650,60,120,3,230,38,4600,0.5,,,,,,,,,,,,talk;traffic;,,,,,5,,,,,,,,,,1,,,
410,桂花山铁匠,$L:npc_410$,1,3,,117,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;identify;smithing;life_skill;task,talk/npc_talk_109.xml,1790;1791,1790;1791,,,12;15;,,,,,1,,,,1,,,
411,桂花山药师,$L:npc_411$,1,3,,49,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,-567;-828;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,,,,,11;14;,,,,,1,,,,1,,,
412,桂花山仓库管理,$L:npc_412$,1,3,,5651,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,,talk;bank;pet;,talk/npc_talk_183.xml,,,,,,,,,,,,,,1,,,
413,成都城声望商人,$L:npc_413$,1,3,,120,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,312;-353;1,talk;shop;tptc;task,talk/npc_talk_4447.xml,457;,457;,,,,,,,,,,,,1,,,
414,慈云寺声望商人,$L:npc_414$,1,3,,120,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,-259;-479;1,talk;shop;tptc;task,talk/npc_talk_4447.xml,458;459;,458;459;,,,,,,,,,,,,1,,,
415,帮会管理员,$L:npc_415$,1,3,,4421,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,322;-529;1,talk;guild;guildterrapply;task;,talk/npc_talk_415.xml,852;,852;,,,,,,,,,,,,1,,,
416,被抓来的幼童,$L:npc_416$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk,talk/npc_talk_416.xml,,,,,,,,,,,,,,,,,
417,打杂的童子,$L:npc_417$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk,talk/npc_talk_417.xml,,,,,,,,,,,,,,1,,,
431,天使宝箱,$L:npc_431$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,00,0,,,,,6000,0;0;0;0;0;0;0;,"0,0;",6,6,,,,,,,,,,,,,,,,,,1,,,
432,贪婪商人,$L:npc_432$,1,3,,116,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_432.xml,935;936,935;936,,,,,,,,,,,,,,,
433,李半仙,$L:npc_433$,1,3,,38,0,,,100,30,,,,0,,,,983,600,0,76,32,569,20,,"1133,0.1",,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,0.3;0;0;,,,,,,,,279;-523;1,talk;registerequip;shop;task,talk/npc_talk_433.xml,300;491;829;1678;1679;1680;1681;894;895;896;,300;491;829;1678;1679;1680;1681;894;895;896;,,,,,,,,,,,,,,,
434,黑惑星,$L:npc_434$,1,3,,182,1,,,100,28,,8,4,1,,,,7065,264,0,277,30,536,20,,,,,536;536;536;536;536,300,120,3,1560,260,48000,1,2,,,,6022,0;0;0;0;0;0;0;,"0,0",0.13,2,,,,,,,156,,,,,,,,,,,1,,,
435,铁面佛陀,$L:npc_435$,1,3,,127,1,,,100,38,,8,4,1,,,,12343,264,0,446,39,699,20,,,,,699;699;699;699;699,300,120,3,1960,327,60000,1,2,,,,,,,,2,,,,,,,166,,,,,,,,,,,,,,
436,紫铃,$L:npc_436$,1,3,,5650,0,,,100,43,,3.5,1,1,,,,6954,120,0,138,19,780,20,,"1133,0.1",,,780;780;780;780;780,60,60,3,270,45,5400,0.5,,,,,6025,0;0;0;0;0;0;0;,"0,0",0.13,,,-957;-914;1,talk;task,,301;,,301,,,,,,,,,,,,,,
437,清远黑豹,$L:npc_437$,1,3,,171,1,,,100,42,,8,4,1,,,,15134,120,0,531,19,764,20,,,,,764;764;764;764;764,60,140,3,265,44,5400,0.5,1,,,,6025,0;0;0;0;0;0;0;,"0,0",0.13,,,,,,,,35,,,,,,,,,,,1,,,
438,雪地野狼,$L:npc_438$,1,3,,15,1,,,100,42,,5,3,1,,,,9459,120,0,398,19,764,20,,,,,764;764;764;764;764,60,150,3,265,44,5400,0.5,1,203;,0;0;0;,"-1,1;",6025,0;0;0;0;0;0;0;,"0,0",0.13,,,-1190;-840;1,,,,,217;301,,,,,,,,,,,1,,,
3001,金蝉,$L:npc_1003$,1,3,,501,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,160,3,205,34,4200,0.5,,,,,,,,,,,133;1166;1,talk;task,talk/npc_talk_161.xml,505;506;,505;,,,,,,,,,,,,1,,,
3002,齐灵云,$L:npc_104$,1,3,,112,0,,,100,40,,20,2,1,,,,1711,120,0,122,41,731,20,,,,,731;731;731;731;731,60,120,3,255,43,5200,0.5,,,,,,,,,,,93;1153;1,talk;task,talk/npc_talk_104.xml,507;508;,506;507;,,,,,,,,,,,,1,,,
3003,妙一夫人,$L:npc_3003$,1,3,,4420,0,,,100,80,,30,5,1,,,,7478,120,0,462,77,1381,20,,,,,1381;1381;1381;1381;1381,60,120,3,455,76,9200,0.5,,,,,,,,,,,142;1118;1,talk;task,talk/npc_talk_3003.xml,806;,805;,,,,,,,,,,,,1,,,
3004,李英琼,$L:npc_3004$,1,3,,504,0,,,100,45,,,,0,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,5600,0.5,,,,,,,,,,,145;1173;1,talk;task,talk/npc_talk_3004.xml,503;504;,503;504;,,,,,,,,,,,,1,,,
3005,袁星,$L:npc_3005$,1,3,,505,0,,,100,35,,,,0,,,,1313,37,0,97,36,650,20,,,,,650;650;650;650;650,60,120,3,230,38,4600,0.5,,,,,,,,,,,,talk;,talk/npc_talk_3005.xml,,,,,,,,,,,,,,1,,,
3006,清风,$L:npc_3006$,1,3,,506,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,,,,,,,t,,137;1174;1,talk;task,talk/npc_talk_3006.xml,501;502;,501;502;,,,,,,,,,,,,1,,,
3007,明月,$L:npc_3007$,1,3,,507,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,,,,,,,,,151;1168;1,talk;shop,talk/npc_talk_3007.xml,,,,,,,,,,1,,,,1,,,
3008,峨眉男弟子,$L:npc_3008$,1,3,,508,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,,,,,,,,,,talk;,talk/npc_talk_3008.xml,,,,,,,,,,,,,,,,,
3009,峨眉女弟子,$L:npc_3009$,1,3,,509,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,,,,,,,,,,talk;,talk/npc_talk_3009.xml,,,,,,,,,,,,,,,,,
3010,短尾猴,$L:npc_3010$,1,3,,510,1,2,,100,1,,,,0,,,,49,37,0,4,5,0,20,,,"1145,1",,0;0;0;0;0,60,120,3,60,10,1200,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,131;933;1,,,,,501;,,,,,,2,,,,,,,,
3011,穿山甲,$L:npc_192$,1,3,,511,1,1,,100,3,,,,0,,,,78,37,0,6,7,29,20,,,"1143,1",,29;29;29;29;29,60,120,3,70,12,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,-30;1166;1,,,,,503;,,,,,,2,,,,,,,,
3012,肉芝,$L:npc_3012$,1,3,,512,1,2,,100,4,,,,0,,,,95,30,0,8,8,49,20,,,"1145,1",,49;49;49;49;49,60,120,3,75,13,1600,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,-185;1170;1,,,,,505;,,,,,,2,,,,,1,,,
3013,千年肉芝,$L:npc_3013$,1,3,,513,1,,,100,5,,,,0,,,,114,37,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,-177;1215;1,,,,,506;,,,,,,,,,,,,,,
3014,石笋巨人,$L:npc_3014$,1,3,,514,0,,,100,5,,,,0,,,,260,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,-110;1141;1,talk;,,,,507;,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3101,小沙弥唯善,$L:npc_3101$,1,3,,6082,0,,,100,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,,,,,,,,,371;1184;1,talk;task,talk/npc_talk_3101.xml,553;555;,553,,,,,,,,,,,,1,,,
3102,小沙弥唯清,$L:npc_3102$,1,3,,603,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,,,,,,,,,378;1176;1,talk;shop;life_skill,talk/npc_talk_3102.xml,,,,,11;14,,,,,1,,,,1,,,
3103,小沙弥唯明,$L:npc_3103$,1,3,,6081,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,,,,,,,,,383;1185;1,talk;task,talk/npc_talk_3103.xml,558;400;401;464;,557;400;401;,,,,,,,,,,,,1,,,
3104,楠树守卫,$L:npc_3104$,1,3,,604,0,,,100,5,,,,0,,,,150,120,0,5,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,,,,,,,,,354;1203;1,talk;task,,,,559;,,,,,,,,,,,1,,,
3105,千年楠树守卫,$L:npc_3105$,1,3,,605,0,,,100,40,,,,0,,,,1711,120,0,122,41,731,20,,,,,731;731;731;731;731,60,120,3,255,43,5200,0.5,,,,,,,,,,,358;1183;1,talk;task,talk/npc_talk_3105.xml,556,555;,,,,,,,,,,,,1,,,
3106,老楠树,$L:npc_3106$,1,3,,606,0,,,100,90,,20,2,1,,,,192375,120,0,7125,86,1544,20,,,,,1544;1544;1544;1544;1544,60,120,3,505,84,10200,0.5,,,,,,,,,,,352;1210;1,talk;task,talk/npc_talk_3106.xml,,,,,,,,,,,,,,1,,,
3107,佛奴,$L:npc_3107$,1,3,,6083,0,,,100,60,,10,2,1,,,,41681,120,0,3705,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,7200,0.5,,,,,,,,,,,376;1177;1,talk;task,talk/npc_talk_3107.xml,551;561;821;853;,551;561;464;821;853;,,,,,,,,,,,,1,,,
3108,白雕,$L:npc_3108$,1,3,,608,0,,,100,80,,10,2,1,,,,74779,120,0,5865,77,1381,20,,,,,1381;1381;1381;1381;1381,60,120,3,455,76,9200,0.5,,,,,,,,,,,,talk;task,talk/npc_talk_3108.xml,,,,,,,,,,,,,,,,,
3109,通臂神猿李宁,$L:npc_52$,1,3,,52,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,,,,,,,,,393;1159;1,talk;task;,talk/npc_talk_52.xml,559;560;800;809,558;559;800;1662,,,,,,,,,,,,,,,
3110,小野猪,$L:npc_3110$,1,3,,610,1,1,,100,1,,,,0,,,,49,37,0,4,5,0,20,,,"1143,1",,0;0;0;0;0,60,120,3,60,10,1200,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,388;1025;1,,,,,551;822;1688,,,,,,2,,,,,,,,
3111,野猪,$L:npc_3111$,1,3,,611,1,1,,100,2,,,,0,,,,62,37,0,5,6,13,20,,,"1143,1",,13;13;13;13;13,60,120,3,65,11,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,442;950;1,,,,,551;,,,,,,2,,,,,,,,
3112,小山猿,$L:npc_3112$,1,3,,612,1,2,,100,1,,,,0,,,,49,37,0,4,5,0,20,,,"1145,1",,0;0;0;0;0,60,120,3,60,10,1200,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
3113,山猿,$L:npc_3113$,1,3,,613,1,1,,100,2,,,,0,,,,62,37,0,5,6,13,20,,,"1143,1",,13;13;13;13;13,60,120,3,65,11,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,360;1355;1,,,,,553;,,,,,,2,,,,,,,,
3114,小山狼,$L:npc_3114$,1,3,,614,1,2,,100,3,,,,0,,,,78,30,0,6,7,29,20,,,"1145,1",,29;29;29;29;29,60,120,3,70,12,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
3115,小血精灵,$L:npc_3115$,1,3,,615,1,2,,100,1,,,,0,,,,49,37,0,4,5,0,20,,,"1145,1",,0;0;0;0;0,60,120,3,60,10,1200,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
3116,小血精灵,$L:npc_3115$,1,3,,616,1,2,,100,2,,,,0,,,,62,37,0,5,6,13,20,,,"1145,1",,13;13;13;13;13,60,120,3,65,11,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
3117,小血精灵,$L:npc_3115$,1,3,,617,1,2,,100,3,,,,0,,,,78,30,0,6,7,29,20,,,"1145,1",,29;29;29;29;29,60,120,3,70,12,1400,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,2,,,,,,,,
3118,血精灵,$L:npc_3118$,1,3,,618,1,2,,100,4,,,,0,,,,95,30,0,8,8,49,20,,,"1145,1",,49;49;49;49;49,60,120,3,75,13,1600,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,580;1130;1,,,,,556;561;,,,,,,2,,,,,,,,
3119,大血精灵,$L:npc_3119$,1,3,,619,1,,,100,5,,,,0,,,,300,30,0,5,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,660;1179;1,,,,,557;,,,,,,,,,,,,,,
3120,凝碧崖草药,$L:npc_3120$,2,1,,221,0,,,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,00,0.5,,,,,,,,,,,354;1152;1,,,,,552;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,秘洞小野猪,$L:npc_3121$,1,3,,610,1,,,100,10,,,,0,,,,293,37,0,27,15,276,20,,,,,276;276;276;276;276,60,150,3,115,19,2400,0.5,1,501;301;,0.05;0;0;,"-1,1;-2,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,400,,,,,,,,,,,,,,
3122,秘洞野猪,$L:npc_3122$,1,3,,611,1,,,100,10,,3.5,3,0,,,,320,86,0,29,16,293,20,,,,,293;293;293;293;293,60,150,3,120,70,2400,0.5,1,301;601;,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,821;400,,,,,,,,,,,,,,
3123,秘洞野猪王,$L:npc_3123$,1,3,,622,1,,,100,11,,20,1,0,,2;3;4,,378,545,0,30,18,325,20,,"1142,1",,,325;325;325;325;325,60,150,3,130,124,6500,1,1,401;701,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,821;400;876;885;,,,,,,,,,,,,,,
3124,秘洞穿山甲,$L:npc_3124$,1,3,,150,1,,,100,11,,3.5,3,0,,,,378,86,0,33,18,325,20,,,,,325;325;325;325;325,60,150,3,130,76,2600,0.5,1,401;701,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,400,,,,,,,,,,,,,,
3125,秘洞小精灵,$L:npc_3125$,1,3,,615,1,,,100,11,,3.5,3,0,,,,378,86,0,33,18,325,20,,,,,325;325;325;325;325,60,150,3,130,76,2600,0.5,1,401;701,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,401;800,,,,,,,,,,,,,,
3126,秘洞精灵,$L:npc_3126$,1,3,,618,1,,,100,11,,3.5,3,0,,,,409,86,0,36,19,341,20,,,,,341;341;341;341;341,60,150,3,135,79,2800,0.5,1,501;701;,0.05;0;0;,"2,4;-1,1;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,401,,,,,,,,,,,,,,
3127,秘洞大精灵,$L:npc_3127$,1,3,,619,1,,,100,11,,3.5,3,0,,,,474,86,0,41,21,374,20,,,,,374;374;374;374;374,60,150,3,145,85,3000,0.5,1,601,0.1;0;0;,"2,4;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,391;1152;1,,,,,401;800,,,,,,,,,,,,,,
